18:42:36 INFO  manager.ApplicationManager - Tests stars with Chrome
18:42:49 INFO  manager.MyListener - Start search element by locator-->By.id: city
18:42:49 INFO  manager.MyListener - The element with locator-->By.id: city was found
18:42:49 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (2a5d4ec94db9d06a5eca25b9406f80f5)] -> id: city]
18:42:50 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: div.pac-item
18:42:50 INFO  manager.MyListener - The element with locator-->By.cssSelector: div.pac-item was found
18:42:50 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (2a5d4ec94db9d06a5eca25b9406f80f5)] -> css selector: div.pac-item]
18:42:50 INFO  manager.MyListener - Start search element by locator-->By.id: dates
18:42:50 INFO  manager.MyListener - The element with locator-->By.id: dates was found
18:42:50 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (2a5d4ec94db9d06a5eca25b9406f80f5)] -> id: dates]
18:42:50 INFO  manager.MyListener - Start search element by locator-->By.xpath: //td[@aria-label='November 25, 2021']
18:42:50 INFO  manager.MyListener - The element with locator-->By.xpath: //td[@aria-label='November 25, 2021'] was found
18:42:50 INFO  manager.MyListener - Start search element by locator-->By.xpath: *
18:42:50 INFO  manager.MyListener - The element with locator-->By.xpath: * was found
18:42:51 INFO  manager.MyListener - Click on WebElement by locator-->[[[[ChromeDriver: chrome on WINDOWS (2a5d4ec94db9d06a5eca25b9406f80f5)] -> xpath: //td[@aria-label='November 25, 2021']]] -> xpath: *]
18:42:53 INFO  manager.MyListener - Start search element by locator-->By.xpath: //td[@aria-label='November 28, 2021']
18:42:53 INFO  manager.MyListener - The element with locator-->By.xpath: //td[@aria-label='November 28, 2021'] was found
18:42:53 INFO  manager.MyListener - Start search element by locator-->By.xpath: *
18:42:53 INFO  manager.MyListener - The element with locator-->By.xpath: * was found
18:42:53 INFO  manager.MyListener - Click on WebElement by locator-->[[[[ChromeDriver: chrome on WINDOWS (2a5d4ec94db9d06a5eca25b9406f80f5)] -> xpath: //td[@aria-label='November 28, 2021']]] -> xpath: *]
18:42:53 INFO  manager.MyListener - Start search element by locator-->By.xpath: //button[@type='submit']
18:42:53 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit'] was found
